"Time","cpu3_usage"
1710336475000,4.796428571428468
1710336480000,4.796428571428468
1710336485000,4.955952380952744
1710336490000,4.955952380952744
1710336495000,4.955952380952744
1710336500000,7.14880952380923
1710336505000,7.14880952380923
1710336510000,7.14880952380923
1710336515000,10.070238095238992
1710336520000,10.070238095238992
1710336525000,10.070238095238992
1710336530000,12.93928571428623
1710336535000,12.93928571428623
1710336540000,12.93928571428623
1710336545000,15.859523809524168
1710336550000,15.859523809524168
1710336555000,15.859523809524168
1710336560000,18.758333333334154
1710336565000,18.758333333334154
1710336570000,18.758333333334154
1710336575000,21.445238095238228

