"Time","cpu1_usage"
1710336475000,2.2270833333336237
1710336480000,2.315773809524402
1710336485000,2.315773809524402
1710336490000,2.315773809524402
1710336495000,3.693154761904882
1710336500000,3.693154761904882
1710336505000,3.693154761904882
1710336510000,6.673809523809259
1710336515000,6.673809523809259
1710336520000,6.673809523809259
1710336525000,9.646130952380538
1710336530000,9.646130952380538
1710336535000,9.646130952380538
1710336540000,12.81071428571522
1710336545000,12.81071428571522
1710336550000,12.81071428571522
1710336555000,15.942261904762034
1710336560000,15.942261904762034
1710336565000,15.942261904762034
1710336570000,19.076190476190703
1710336575000,19.076190476190703

