"Time","sda_5"
1710336475000,2151219.1999999997
1710336480000,2133820.952380952
1710336485000,2133820.952380952
1710336490000,2133820.952380952
1710336495000,2147942.4
1710336500000,2147942.4
1710336505000,2147942.4
1710336510000,2069377.2190476188
1710336515000,2069377.2190476188
1710336520000,2069377.2190476188
1710336525000,2157889.8285714285
1710336530000,2157889.8285714285
1710336535000,2157889.8285714285
1710336540000,2157343.6952380952
1710336545000,2157343.6952380952
1710336550000,2157343.6952380952
1710336555000,2180593.371428571
1710336560000,2180593.371428571
1710336565000,2180593.371428571
1710336570000,2153130.6666666665
1710336575000,2153130.6666666665

