"Time","sda_1"
1710336475000,116804.26666666666
1710336480000,125132.79999999999
1710336485000,125132.79999999999
1710336490000,125132.79999999999
1710336495000,121690.2095238095
1710336500000,121690.2095238095
1710336505000,121690.2095238095
1710336510000,111845.18095238094
1710336515000,111845.18095238094
1710336520000,111845.18095238094
1710336525000,128394.97142857141
1710336530000,128394.97142857141
1710336535000,128394.97142857141
1710336540000,135436.19047619047
1710336545000,135436.19047619047
1710336550000,135436.19047619047
1710336555000,136806.4
1710336560000,136806.4
1710336565000,136806.4
1710336570000,137406.17142857143
1710336575000,137406.17142857143

