cpu1_usage,cpu3_usage,cpu5_usage,sda_1,sda_3,sda_5,181_GPU3_Power,181_GPU2_Power,181_GPU0_Power,181_GPU1_Power,185_GPU2_Power,185_GPU0_Power,185_GPU3_Power,185_GPU1_Power,183_GPU3_Power,183_GPU0_Power,183_GPU1_Power,183_GPU2_Power,181_GPU3_temp,181_GPU2_temp,181_GPU0_temp,181_GPU1_temp,185_GPU2_temp,185_GPU0_temp,185_GPU3_temp,185_GPU1_temp,183_GPU3_temp,183_GPU0_temp,183_GPU1_temp,183_GPU2_temp,181_GPU3_usage,181_GPU2_usage,181_GPU0_usage,181_GPU1_usage,185_GPU2_usage,185_GPU0_usage,185_GPU3_usage,185_GPU1_usage,183_GPU3_usage,183_GPU0_usage,183_GPU1_usage,183_GPU2_usage,181_GPU3_mem,181_GPU2_mem,181_GPU0_mem,181_GPU1_mem,185_GPU2_mem,185_GPU0_mem,185_GPU3_mem,185_GPU1_mem,183_GPU3_mem,183_GPU0_mem,183_GPU1_mem,183_GPU2_mem
2.591666666666081,4.575892857143282,2.211607142857519,118135.46666666666,214152.53333333333,2161205.638095238,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,31.016,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.591666666666081,4.592261904761353,2.211607142857519,118135.46666666666,208169.4476190476,2161205.638095238,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,31.016,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.591666666666081,4.592261904761353,2.211607142857519,118135.46666666666,208169.4476190476,2161205.638095238,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,31.016,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.094642857142338,4.592261904761353,2.591369047617098,122865.37142857142,208169.4476190476,2101326.019047619,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,31.016,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.094642857142338,6.015178571428381,2.591369047617098,122865.37142857142,220442.81904761904,2101326.019047619,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.094642857142338,6.015178571428381,2.591369047617098,122865.37142857142,220442.81904761904,2101326.019047619,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.179166666666546,6.015178571428381,5.928273809523876,104408.99047619046,220442.81904761904,29756581.790476188,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.179166666666546,8.927380952380071,5.928273809523876,104408.99047619046,194116.26666666663,29756581.790476188,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.179166666666546,8.927380952380071,5.928273809523876,104408.99047619046,194116.26666666663,29756581.790476188,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.154464285713749,8.927380952380071,9.34880952381072,129813.94285714284,194116.26666666663,65526676.72380952,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.154464285713749,11.760714285714624,9.34880952381072,129813.94285714284,221071.8476190476,65526676.72380952,31.037,30.517,30.537,31.016,31.558,31.558,32.037,31.578,43.387,40.948,41.946,42.945,31,28,32,30,32,32,30,27,42,36,34,36,0,0,0,0,0,0,0,0,26,17,13,39,0,0,0,0,0,0,0,0,794,794,816,818
9.154464285713749,11.760714285714624,9.34880952381072,129813.94285714284,221071.8476190476,65526676.72380952,31.037,30.517,30.537,31.016,48.468,48.5,49.467,48.532,43.387,40.948,41.946,42.945,31,28,32,30,33,33,31,29,42,36,34,36,0,0,0,0,5,6,5,5,26,17,13,39,0,0,0,0,823,799,799,823,794,794,816,818
11.927976190475942,11.760714285714624,12.892261904762591,129891.96190476188,221071.8476190476,98004913.98095237,50.932,49.934,50.433,51.931,48.468,48.5,49.467,48.532,43.387,40.948,41.946,42.945,33,30,34,32,33,33,31,29,42,36,34,36,97,97,97,85,5,6,5,5,26,17,13,39,799,823,799,823,823,799,799,823,794,794,816,818
