cpu1_usage,cpu3_usage,cpu5_usage,sda_1,sda_3,sda_5,181_GPU3_Power,181_GPU2_Power,181_GPU0_Power,181_GPU1_Power,185_GPU2_Power,185_GPU0_Power,185_GPU3_Power,185_GPU1_Power,183_GPU3_Power,183_GPU0_Power,183_GPU1_Power,183_GPU2_Power,181_GPU3_temp,181_GPU2_temp,181_GPU0_temp,181_GPU1_temp,185_GPU2_temp,185_GPU0_temp,185_GPU3_temp,185_GPU1_temp,183_GPU3_temp,183_GPU0_temp,183_GPU1_temp,183_GPU2_temp,181_GPU3_usage,181_GPU2_usage,181_GPU0_usage,181_GPU1_usage,185_GPU2_usage,185_GPU0_usage,185_GPU3_usage,185_GPU1_usage,183_GPU3_usage,183_GPU0_usage,183_GPU1_usage,183_GPU2_usage,181_GPU3_mem,181_GPU2_mem,181_GPU0_mem,181_GPU1_mem,185_GPU2_mem,185_GPU0_mem,185_GPU3_mem,185_GPU1_mem,183_GPU3_mem,183_GPU0_mem,183_GPU1_mem,183_GPU2_mem
11.764583333333343,14.331845238095331,10.679166666665152,208486.4,1135825.6761904762,2272811.885714285,31.016,48.935,49.435,50.433,31.558,31.558,32.037,31.578,52.825,49.901,50.865,51.364,32,29,33,31,32,31,30,27,43,37,35,37,98,98,98,98,0,0,0,0,99,98,98,98,797,821,797,821,0,0,0,0,796,796,820,820
11.764583333333343,14.331845238095331,10.679166666665152,208486.4,1135825.6761904762,2272811.885714285,31.016,48.935,49.435,50.433,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364,32,29,33,31,45,33,32,29,43,37,35,37,98,98,98,98,98,98,98,98,99,98,98,98,797,821,797,821,14434,799,799,823,796,796,820,820
14.68035714285656,14.331845238095331,13.53214285714266,188294.0952380952,1135825.6761904762,2252097.8285714285,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364,33,31,34,32,45,33,32,29,43,37,35,37,98,98,98,98,98,98,98,98,99,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
14.68035714285656,16.937500000000817,13.53214285714266,188294.0952380952,1124893.257142857,2252097.8285714285,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364,33,31,34,32,45,33,32,29,43,37,35,37,98,98,98,98,98,98,98,98,99,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
14.68035714285656,16.937500000000817,13.53214285714266,188294.0952380952,1124893.257142857,2252097.8285714285,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364,33,31,34,32,45,33,32,29,43,37,35,37,98,98,98,98,98,98,98,98,99,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
17.512202380953347,16.937500000000817,16.443750000000712,184276.11428571423,1124893.257142857,2284046.6285714284,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,52.825,49.901,50.865,51.364,33,31,34,32,45,33,32,29,43,37,35,37,98,98,98,98,98,98,98,98,99,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
17.512202380953347,19.80595238095292,16.443750000000712,184276.11428571423,1122606.3238095236,2284046.6285714284,47.937,49.402,49.934,51.431,177.944,50.4,52.395,51.965,53.821,50.4,51.364,51.862,33,31,34,32,45,33,32,29,44,38,36,38,98,98,98,98,98,98,98,98,98,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
17.512202380953347,19.80595238095292,16.443750000000712,184276.11428571423,1122606.3238095236,2284046.6285714284,47.937,49.402,49.934,51.431,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862,33,31,34,32,55,34,34,30,44,38,36,38,98,98,98,98,100,5,6,6,98,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
20.48452380952357,19.80595238095292,19.64761904761829,205170.59047619047,1122606.3238095236,2201385.4476190475,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862,34,31,35,32,55,34,34,30,44,38,36,38,98,98,98,98,100,5,6,6,98,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
20.48452380952357,22.59226190476121,19.64761904761829,205170.59047619047,1135230.7809523807,2201385.4476190475,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862,34,31,35,32,55,34,34,30,44,38,36,38,98,98,98,98,100,5,6,6,98,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
20.48452380952357,22.59226190476121,19.64761904761829,205170.59047619047,1135230.7809523807,2201385.4476190475,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862,34,31,35,32,55,34,34,30,44,38,36,38,98,98,98,98,100,5,6,6,98,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
23.19732142857078,22.59226190476121,22.30416666666618,205326.62857142856,1135230.7809523807,2215740.952380952,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.862,34,31,35,32,55,34,34,30,44,38,36,38,98,98,98,98,100,5,6,6,98,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
23.19732142857078,24.174999999999542,22.30416666666618,205326.62857142856,765303.4666666666,2215740.952380952,50.433,49.901,49.435,50.932,293.821,49.37,50.334,49.402,53.821,50.4,51.364,51.897,34,31,35,32,55,34,34,30,45,39,37,38,98,98,98,98,100,5,6,6,98,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
23.19732142857078,24.174999999999542,22.30416666666618,205326.62857142856,765303.4666666666,2215740.952380952,50.433,49.901,49.435,50.932,187.863,51.431,53.358,51.465,53.821,50.4,51.364,51.897,34,31,35,32,59,35,36,30,45,39,37,38,98,98,98,98,98,97,98,98,98,98,98,98,799,823,799,823,14434,799,799,823,796,796,820,820
