"Time","sda_写入"
1710343660000,116750.62857142856
1710343665000,103765.33333333333
1710343670000,103765.33333333333
1710343675000,103765.33333333333
1710343680000,121617.06666666665
1710343685000,121617.06666666665
1710343690000,121617.06666666665
1710343695000,122509.40952380952
1710343700000,122509.40952380952
1710343705000,122509.40952380952
1710343710000,127000.38095238095
1710343715000,127000.38095238095
1710343720000,127000.38095238095
1710343725000,135489.82857142854
1710343730000,135489.82857142854
1710343735000,135489.82857142854
1710343740000,127770.81904761904
1710343745000,127770.81904761904
1710343750000,127770.81904761904
1710343755000,138054.70476190475
1710343760000,138054.70476190475
1710343765000,138054.70476190475

