cpu1_usage,cpu3_usage,cpu5_usage,sda_1,sda_3,sda_5,181_GPU3_Power,181_GPU2_Power,181_GPU0_Power,181_GPU1_Power,185_GPU2_Power,185_GPU0_Power,185_GPU3_Power,185_GPU1_Power,183_GPU3_Power,183_GPU0_Power,183_GPU1_Power,183_GPU2_Power,181_GPU3_temp,181_GPU2_temp,181_GPU0_temp,181_GPU1_temp,185_GPU2_temp,185_GPU0_temp,185_GPU3_temp,185_GPU1_temp,183_GPU3_temp,183_GPU0_temp,183_GPU1_temp,183_GPU2_temp,181_GPU3_usage,181_GPU2_usage,181_GPU0_usage,181_GPU1_usage,185_GPU2_usage,185_GPU0_usage,185_GPU3_usage,185_GPU1_usage,183_GPU3_usage,183_GPU0_usage,183_GPU1_usage,183_GPU2_usage,181_GPU3_mem,181_GPU2_mem,181_GPU0_mem,181_GPU1_mem,185_GPU2_mem,185_GPU0_mem,185_GPU3_mem,185_GPU1_mem,183_GPU3_mem,183_GPU0_mem,183_GPU1_mem,183_GPU2_mem
2.468452380952024,4.636607142857407,1.9288690476181316,116750.62857142856,196783.54285714283,2204974.323809524,31.016,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,29,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.365773809523985,4.636607142857407,1.9654761904760232,103765.33333333331,196783.54285714283,2193427.5047619045,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.365773809523985,4.6199404761910206,1.9654761904760232,103765.33333333331,199309.4095238095,2193427.5047619045,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.365773809523985,4.6199404761910206,1.9654761904760232,103765.33333333331,199309.4095238095,2193427.5047619045,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.306547619048028,4.6199404761910206,2.680952380954593,121617.06666666664,199309.4095238095,2201814.552380952,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.306547619048028,6.455654761905317,2.680952380954593,121617.06666666664,215873.82857142852,2201814.552380952,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,31,32,30,28,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.306547619048028,6.455654761905317,2.680952380954593,121617.06666666664,215873.82857142852,2201814.552380952,31.016,30.017,30.537,31.016,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.387499999999857,6.455654761905317,12.44126197048776,122509.40952380952,215873.82857142852,2024902.757262222,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.387499999999857,9.430952380952306,16.491044956598778,122509.40952380952,234725.1809523809,1931246.5794844443,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.387499999999857,9.430952380952306,20.540827942709797,122509.40952380952,234725.1809523809,1837590.4017066665,31.037,30.517,30.537,31.037,31.558,31.558,32.037,31.578,32.473,30.996,31.496,30.996,31,28,32,30,32,32,30,27,41,35,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
